id;term;definition;image_url;hint;position
1;triumphantly extricate;../fake-data/blob/hipster.txt;strictly;er crumble gee;233
2;kindly prudent;../fake-data/blob/hipster.txt;bah;or boo ah;2556
3;ravioli;../fake-data/blob/hipster.txt;anxiously;finally swiftly;22627
4;near;../fake-data/blob/hipster.txt;an;doting;5004
5;geez hope;../fake-data/blob/hipster.txt;ouch fibre wildly;beyond;23586
6;against so;../fake-data/blob/hipster.txt;unto breastplate instantly;boggle;2437
7;vibration;../fake-data/blob/hipster.txt;inside aboard;developmental;31688
8;consequently;../fake-data/blob/hipster.txt;serene;carelessly anti;25108
9;unsung yet;../fake-data/blob/hipster.txt;validity;dramatic geez;31872
10;sharply effector though;../fake-data/blob/hipster.txt;sunbathe;aha vain indeed;12437
