id;content;image_url;suggestion;answer_explanation;correct_answer;type
1;forenenst;blind;times provided analyse;pastel;if;aside
2;when brr deceivingly;sometimes how;jovially who abacus;cross begonia nor;hateful flood aha;oof unwritten
3;eyeliner across;as;zowie matter;even;athwart;freight where
4;versus swill;never co-producer;somber treasure;overproduce;tired graceful;while
5;analogy commonly iridescence;once ponder;aw condense;feather;rosy sudden clear;meanwhile
6;around gadzooks big;pish lieu majority;eventually;larva dark yowza;impeccable disloyal;elliptical towards
7;out;knowledgeably yuck;slump including;uncover t-shirt;absent;always accidentally unless
8;alive;boohoo minus upbeat;papa;while;alliance slowly worthy;numeric bitterly
9;abnormally neat longingly;developing;roughly newsprint;eternity that nor;negative;obsess belabor
10;dearly;crossly utterly;best like;creative secrecy luck;regular;given alongside
