id;date;start_time;end_time;location
1;2025-08-15T09:00:00;2025-08-15T09:00:00;2025-08-15T10:30:00;Room A101
2;2025-08-15T14:00:00;2025-08-15T14:00:00;2025-08-15T15:30:00;Room B202
3;2025-08-16T10:00:00;2025-08-16T10:00:00;2025-08-16T11:30:00;Room A101
4;2025-08-16T15:00:00;2025-08-16T15:00:00;2025-08-16T16:30:00;Room C303
5;2025-08-17T09:30:00;2025-08-17T09:30:00;2025-08-17T11:00:00;Room B202
6;2025-08-17T13:30:00;2025-08-17T13:30:00;2025-08-17T15:00:00;Room A101
7;2025-08-18T11:00:00;2025-08-18T11:00:00;2025-08-18T12:30:00;Room C303
8;2025-08-18T16:00:00;2025-08-18T16:00:00;2025-08-18T17:30:00;Room B202
9;2025-08-19T08:30:00;2025-08-19T08:30:00;2025-08-19T10:00:00;Room A101
10;2025-08-19T14:30:00;2025-08-19T14:30:00;2025-08-19T16:00:00;Room C303
